gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn_Probability,Risk_Segment
0,1,0,0,8,1,2,1,0,0,0,2,2,2,0,1,1,100.15,908.55,0.8885909174527417,High Risk 🔴
0,1,0,0,11,1,2,1,0,0,0,0,0,2,0,1,1,84.8,906.85,0.7120714540761359,High Risk 🔴
1,1,0,0,2,1,2,1,0,0,0,0,0,0,0,1,3,74.85,156.4,0.7748484904954588,High Risk 🔴
0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,90.4,168.2,0.84360950741946,High Risk 🔴
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.5,74.5,0.8640579451984972,High Risk 🔴
1,0,1,0,2,1,2,1,0,0,2,0,2,0,0,1,2,91.45,171.45,0.9085220246180193,High Risk 🔴
0,0,1,1,1,1,2,1,2,0,2,0,2,2,0,1,2,102.45,102.45,0.8108734367658595,High Risk 🔴
0,0,1,1,1,1,0,1,0,0,0,0,2,0,0,1,3,80.05,80.05,0.883565121897916,High Risk 🔴
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.55,89.55,0.86115076903416,High Risk 🔴
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,25.05,25.05,0.7188647652010072,High Risk 🔴
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,25.2,25.2,0.8113487353735275,High Risk 🔴
0,1,0,0,14,1,2,1,0,2,2,0,2,2,0,1,2,104.85,1531.4,0.7350491109275351,High Risk 🔴
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,76.35,76.35,0.9028974023475848,High Risk 🔴
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.6,70.6,0.7577820009455962,High Risk 🔴
1,0,1,1,69,1,2,1,0,0,2,0,2,2,0,1,1,99.45,7007.6,0.7054366793021041,High Risk 🔴
1,1,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,77.0,237.75,0.8530197100118965,High Risk 🔴
1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.5,79.5,0.8994387700408801,High Risk 🔴
1,0,0,0,6,1,2,1,0,0,0,0,0,0,0,1,2,74.9,469.8,0.7475217794592105,High Risk 🔴
1,1,1,0,24,1,2,1,0,2,2,0,2,2,0,1,2,104.25,2433.9,0.7109148980527068,High Risk 🔴
1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,1,2,74.5,74.5,0.8885022986250152,High Risk 🔴
1,0,0,0,4,1,2,1,0,0,0,0,0,0,0,1,2,76.05,318.9,0.8072395782370579,High Risk 🔴
0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,1,2,30.4,78.65,0.807322852156174,High Risk 🔴
1,0,0,0,13,1,2,1,2,0,0,0,2,2,0,0,3,98.15,1230.25,0.754552715008843,High Risk 🔴
0,0,0,0,6,1,0,1,0,2,0,0,0,2,0,1,3,85.95,514.6,0.760098172536431,High Risk 🔴
0,0,0,0,1,1,0,1,0,0,2,0,2,0,0,1,1,85.55,85.55,0.8755305580959734,High Risk 🔴
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,88.35,88.35,0.8356368166963858,High Risk 🔴
0,1,0,0,11,1,2,1,0,0,0,0,2,2,0,1,0,95.15,997.65,0.7927985222160587,High Risk 🔴
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,69.55,0.9078688824670552,High Risk 🔴
0,1,0,0,1,1,0,1,0,0,2,0,0,2,0,1,2,85.0,85.0,0.8740907228063411,High Risk 🔴
1,0,0,0,10,1,0,1,0,0,2,0,2,2,0,1,2,94.9,1048.85,0.7778877081949835,High Risk 🔴
0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,1,2,35.1,68.75,0.8609149905100324,High Risk 🔴
1,0,0,0,6,1,2,1,0,0,0,2,0,2,0,1,0,87.95,522.35,0.7513998692499707,High Risk 🔴
